Condition: d1
Data/tokenizer loaded in 0.5s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.8s

step 00000 (0.0%) | loss: 9.010780 | lrm: 1.00 | dt: 830ms | tok/sec: 39,498 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.989092 | lrm: 1.00 | dt: 309ms | tok/sec: 106,110 | epoch: 1 | remaining: 300s    
step 00002 (0.1%) | loss: 8.610880 | lrm: 1.00 | dt: 430ms | tok/sec: 76,211 | epoch: 1 | remaining: 299s    
step 00003 (0.1%) | loss: 8.251663 | lrm: 1.00 | dt: 423ms | tok/sec: 77,431 | epoch: 1 | remaining: 299s    
step 00004 (0.2%) | loss: 7.959723 | lrm: 1.00 | dt: 488ms | tok/sec: 67,100 | epoch: 1 | remaining: 298s    
step 00005 (0.2%) | loss: 7.712613 | lrm: 1.00 | dt: 519ms | tok/sec: 63,141 | epoch: 1 | remaining: 298s    
step 00006 (0.3%) | loss: 7.508387 | lrm: 1.00 | dt: 662ms | tok/sec: 49,516 | epoch: 1 | remaining: 297s    
step 00007 (0.3%) | loss: 7.333822 | lrm: 1.00 | dt: 2145ms | tok/sec: 15,277 | epoch: 1 | remaining: 295s    
step 00008 (0.4%) | loss: 7.245722 | lrm: 1.00 | dt: 1352ms | tok/sec: 24,244 | epoch: 1 | remaining: 294s    
step 00009 (0.4%) | loss: 7.180371 | lrm: 1.00 | dt: 557ms | tok/sec: 58,852 | epoch: 1 | remaining: 293s    
step 00010 (0.5%) | loss: 7.094694 | lrm: 1.00 | dt: 580ms | tok/sec: 56,512 | epoch: 1 | remaining: 293s    
step 00011 (0.5%) | loss: 7.011358 | lrm: 1.00 | dt: 1087ms | tok/sec: 30,135 | epoch: 1 | remaining: 291s    
step 00012 (0.6%) | loss: 6.936409 | lrm: 1.00 | dt: 1389ms | tok/sec: 23,583 | epoch: 1 | remaining: 290s    
step 00013 (0.6%) | loss: 6.880723 | lrm: 1.00 | dt: 1068ms | tok/sec: 30,675 | epoch: 1 | remaining: 289s    
step 00014 (0.7%) | loss: 6.819997 | lrm: 1.00 | dt: 757ms | tok/sec: 43,311 | epoch: 1 | remaining: 288s    
step 00015 (0.7%) | loss: 6.766659 | lrm: 1.00 | dt: 725ms | tok/sec: 45,186 | epoch: 1 | remaining: 288s    
step 00016 (0.8%) | loss: 6.716576 | lrm: 1.00 | dt: 973ms | tok/sec: 33,676 | epoch: 1 | remaining: 287s    
step 00017 (0.8%) | loss: 6.680774 | lrm: 1.00 | dt: 1412ms | tok/sec: 23,199 | epoch: 1 | remaining: 285s    
step 00018 (0.9%) | loss: 6.634959 | lrm: 1.00 | dt: 1111ms | tok/sec: 29,498 | epoch: 1 | remaining: 284s    
step 00019 (0.9%) | loss: 6.602250 | lrm: 1.00 | dt: 752ms | tok/sec: 43,589 | epoch: 1 | remaining: 283s    
step 00020 (1.0%) | loss: 6.563965 | lrm: 1.00 | dt: 858ms | tok/sec: 38,182 | epoch: 1 | remaining: 282s    
