Condition: d3
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.7s

step 00000 (0.0%) | loss: 9.010902 | lrm: 1.00 | dt: 664ms | tok/sec: 49,326 | epoch: 1 | remaining: 300s    
step 00001 (0.2%) | loss: 8.976484 | lrm: 1.00 | dt: 367ms | tok/sec: 89,244 | epoch: 1 | remaining: 300s    
step 00002 (0.4%) | loss: 8.616224 | lrm: 1.00 | dt: 567ms | tok/sec: 57,836 | epoch: 1 | remaining: 299s    
step 00003 (0.6%) | loss: 8.328571 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,519 | epoch: 1 | remaining: 298s    
step 00004 (0.8%) | loss: 8.118233 | lrm: 1.00 | dt: 2186ms | tok/sec: 14,993 | epoch: 1 | remaining: 296s    
step 00005 (0.9%) | loss: 7.945698 | lrm: 1.00 | dt: 753ms | tok/sec: 43,531 | epoch: 1 | remaining: 295s    
step 00006 (1.1%) | loss: 7.810896 | lrm: 1.00 | dt: 688ms | tok/sec: 47,609 | epoch: 1 | remaining: 294s    
step 00007 (1.3%) | loss: 7.700451 | lrm: 1.00 | dt: 932ms | tok/sec: 35,170 | epoch: 1 | remaining: 294s    
step 00008 (1.5%) | loss: 7.618261 | lrm: 1.00 | dt: 1460ms | tok/sec: 22,449 | epoch: 1 | remaining: 292s    
step 00009 (1.7%) | loss: 7.547494 | lrm: 1.00 | dt: 1176ms | tok/sec: 27,855 | epoch: 1 | remaining: 291s    
step 00010 (1.9%) | loss: 7.480129 | lrm: 1.00 | dt: 833ms | tok/sec: 39,322 | epoch: 1 | remaining: 290s    
step 00011 (2.1%) | loss: 7.425873 | lrm: 1.00 | dt: 858ms | tok/sec: 38,184 | epoch: 1 | remaining: 289s    
step 00012 (2.3%) | loss: 7.380677 | lrm: 1.00 | dt: 1318ms | tok/sec: 24,869 | epoch: 1 | remaining: 288s    
step 00013 (2.5%) | loss: 7.345415 | lrm: 1.00 | dt: 1309ms | tok/sec: 25,038 | epoch: 1 | remaining: 287s    
step 00014 (2.6%) | loss: 7.318769 | lrm: 1.00 | dt: 915ms | tok/sec: 35,814 | epoch: 1 | remaining: 286s    
step 00015 (2.8%) | loss: 7.290182 | lrm: 1.00 | dt: 959ms | tok/sec: 34,181 | epoch: 1 | remaining: 285s    
step 00016 (3.0%) | loss: 7.258116 | lrm: 1.00 | dt: 1168ms | tok/sec: 28,063 | epoch: 1 | remaining: 284s    
step 00017 (3.2%) | loss: 7.229277 | lrm: 1.00 | dt: 1216ms | tok/sec: 26,941 | epoch: 1 | remaining: 282s    
step 00018 (3.4%) | loss: 7.204872 | lrm: 1.00 | dt: 988ms | tok/sec: 33,167 | epoch: 1 | remaining: 281s    
step 00019 (3.6%) | loss: 7.183855 | lrm: 1.00 | dt: 886ms | tok/sec: 36,977 | epoch: 1 | remaining: 280s    
step 00020 (3.8%) | loss: 7.158511 | lrm: 1.00 | dt: 1107ms | tok/sec: 29,591 | epoch: 1 | remaining: 279s    
step 00021 (4.0%) | loss: 7.134973 | lrm: 1.00 | dt: 1226ms | tok/sec: 26,725 | epoch: 1 | remaining: 278s    
step 00022 (4.2%) | loss: 7.124154 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,955 | epoch: 1 | remaining: 277s    
step 00023 (4.3%) | loss: 7.119288 | lrm: 1.00 | dt: 1098ms | tok/sec: 29,833 | epoch: 1 | remaining: 276s    
step 00024 (4.5%) | loss: 7.103464 | lrm: 1.00 | dt: 1093ms | tok/sec: 29,974 | epoch: 1 | remaining: 275s    
step 00025 (4.7%) | loss: 7.089927 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,452 | epoch: 1 | remaining: 274s    
step 00026 (4.9%) | loss: 7.072666 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,971 | epoch: 1 | remaining: 273s    
step 00027 (5.1%) | loss: 7.050017 | lrm: 1.00 | dt: 1049ms | tok/sec: 31,237 | epoch: 1 | remaining: 272s    
step 00028 (5.3%) | loss: 7.032441 | lrm: 1.00 | dt: 1055ms | tok/sec: 31,051 | epoch: 1 | remaining: 271s    
step 00029 (5.5%) | loss: 7.035638 | lrm: 1.00 | dt: 1078ms | tok/sec: 30,383 | epoch: 1 | remaining: 270s    
step 00030 (5.7%) | loss: 7.026889 | lrm: 1.00 | dt: 1076ms | tok/sec: 30,460 | epoch: 1 | remaining: 268s    
step 00031 (5.9%) | loss: 7.005273 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,986 | epoch: 1 | remaining: 267s    
step 00032 (6.0%) | loss: 6.986161 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,405 | epoch: 1 | remaining: 266s    
step 00033 (6.2%) | loss: 6.969408 | lrm: 1.00 | dt: 1053ms | tok/sec: 31,119 | epoch: 1 | remaining: 265s    
step 00034 (6.4%) | loss: 6.954302 | lrm: 1.00 | dt: 1087ms | tok/sec: 30,137 | epoch: 1 | remaining: 264s    
step 00035 (6.6%) | loss: 6.935467 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,755 | epoch: 1 | remaining: 263s    
step 00036 (6.8%) | loss: 6.920710 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,929 | epoch: 1 | remaining: 262s    
step 00037 (7.0%) | loss: 6.895394 | lrm: 1.00 | dt: 1017ms | tok/sec: 32,229 | epoch: 1 | remaining: 261s    
step 00038 (7.2%) | loss: 6.872065 | lrm: 1.00 | dt: 1056ms | tok/sec: 31,036 | epoch: 1 | remaining: 260s    
step 00039 (7.4%) | loss: 6.856369 | lrm: 1.00 | dt: 1053ms | tok/sec: 31,127 | epoch: 1 | remaining: 259s    
step 00040 (7.6%) | loss: 6.833134 | lrm: 1.00 | dt: 1125ms | tok/sec: 29,115 | epoch: 1 | remaining: 258s    
step 00041 (7.8%) | loss: 6.809950 | lrm: 1.00 | dt: 1033ms | tok/sec: 31,726 | epoch: 1 | remaining: 257s    
step 00042 (7.9%) | loss: 6.795789 | lrm: 1.00 | dt: 1047ms | tok/sec: 31,296 | epoch: 1 | remaining: 256s    
step 00043 (8.1%) | loss: 6.784948 | lrm: 1.00 | dt: 1044ms | tok/sec: 31,380 | epoch: 1 | remaining: 255s    
step 00044 (8.3%) | loss: 6.757221 | lrm: 1.00 | dt: 1108ms | tok/sec: 29,564 | epoch: 1 | remaining: 254s    
step 00045 (8.5%) | loss: 6.735437 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,485 | epoch: 1 | remaining: 253s    
step 00046 (8.7%) | loss: 6.706960 | lrm: 1.00 | dt: 1051ms | tok/sec: 31,174 | epoch: 1 | remaining: 251s    
step 00047 (8.9%) | loss: 6.679542 | lrm: 1.00 | dt: 1048ms | tok/sec: 31,253 | epoch: 1 | remaining: 250s    
step 00048 (9.1%) | loss: 6.654081 | lrm: 1.00 | dt: 1035ms | tok/sec: 31,652 | epoch: 1 | remaining: 249s    
step 00049 (9.3%) | loss: 6.631183 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,220 | epoch: 1 | remaining: 248s    
step 00050 (9.5%) | loss: 6.605323 | lrm: 1.00 | dt: 1139ms | tok/sec: 28,773 | epoch: 1 | remaining: 247s    
step 00051 (9.6%) | loss: 6.581341 | lrm: 1.00 | dt: 1069ms | tok/sec: 30,651 | epoch: 1 | remaining: 246s    
step 00052 (9.8%) | loss: 6.545919 | lrm: 1.00 | dt: 1057ms | tok/sec: 30,987 | epoch: 1 | remaining: 245s    
step 00053 (10.0%) | loss: 6.517201 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,935 | epoch: 1 | remaining: 244s    
step 00054 (10.2%) | loss: 6.486317 | lrm: 1.00 | dt: 1040ms | tok/sec: 31,502 | epoch: 1 | remaining: 243s    
step 00055 (10.4%) | loss: 6.461383 | lrm: 1.00 | dt: 1073ms | tok/sec: 30,532 | epoch: 1 | remaining: 242s    
step 00056 (10.6%) | loss: 6.437723 | lrm: 1.00 | dt: 1069ms | tok/sec: 30,651 | epoch: 1 | remaining: 241s    
step 00057 (10.8%) | loss: 6.409200 | lrm: 1.00 | dt: 1117ms | tok/sec: 29,324 | epoch: 1 | remaining: 240s    
step 00058 (11.0%) | loss: 6.381179 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,961 | epoch: 1 | remaining: 239s    
step 00059 (11.2%) | loss: 6.360318 | lrm: 1.00 | dt: 1057ms | tok/sec: 31,001 | epoch: 1 | remaining: 238s    
step 00060 (11.3%) | loss: 6.335428 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,479 | epoch: 1 | remaining: 237s    
step 00061 (11.5%) | loss: 6.313900 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,710 | epoch: 1 | remaining: 235s    
step 00062 (11.7%) | loss: 6.286517 | lrm: 1.00 | dt: 991ms | tok/sec: 33,062 | epoch: 1 | remaining: 234s    
step 00063 (11.9%) | loss: 6.265474 | lrm: 1.00 | dt: 1041ms | tok/sec: 31,464 | epoch: 1 | remaining: 233s    
step 00064 (12.1%) | loss: 6.246348 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,706 | epoch: 1 | remaining: 232s    
step 00065 (12.3%) | loss: 6.237632 | lrm: 1.00 | dt: 1056ms | tok/sec: 31,016 | epoch: 1 | remaining: 231s    
step 00066 (12.5%) | loss: 6.220107 | lrm: 1.00 | dt: 1076ms | tok/sec: 30,451 | epoch: 1 | remaining: 230s    
step 00067 (12.7%) | loss: 6.198081 | lrm: 1.00 | dt: 1064ms | tok/sec: 30,805 | epoch: 1 | remaining: 229s    
step 00068 (12.9%) | loss: 6.186668 | lrm: 1.00 | dt: 1136ms | tok/sec: 28,834 | epoch: 1 | remaining: 228s    
step 00069 (13.0%) | loss: 6.163830 | lrm: 1.00 | dt: 1052ms | tok/sec: 31,156 | epoch: 1 | remaining: 227s    
step 00070 (13.2%) | loss: 6.139971 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,459 | epoch: 1 | remaining: 226s    
step 00071 (13.4%) | loss: 6.119646 | lrm: 1.00 | dt: 1083ms | tok/sec: 30,254 | epoch: 1 | remaining: 225s    
step 00072 (13.6%) | loss: 6.095204 | lrm: 1.00 | dt: 1064ms | tok/sec: 30,799 | epoch: 1 | remaining: 224s    
step 00073 (13.8%) | loss: 6.071324 | lrm: 1.00 | dt: 1061ms | tok/sec: 30,870 | epoch: 1 | remaining: 223s    
step 00074 (14.0%) | loss: 6.048111 | lrm: 1.00 | dt: 1090ms | tok/sec: 30,060 | epoch: 1 | remaining: 222s    
step 00075 (14.2%) | loss: 6.024542 | lrm: 1.00 | dt: 1039ms | tok/sec: 31,551 | epoch: 1 | remaining: 221s    
step 00076 (14.4%) | loss: 6.008190 | lrm: 1.00 | dt: 1101ms | tok/sec: 29,750 | epoch: 1 | remaining: 220s    
step 00077 (14.6%) | loss: 5.991909 | lrm: 1.00 | dt: 1081ms | tok/sec: 30,302 | epoch: 1 | remaining: 218s    
step 00078 (14.7%) | loss: 5.983786 | lrm: 1.00 | dt: 1054ms | tok/sec: 31,090 | epoch: 1 | remaining: 217s    
step 00079 (14.9%) | loss: 5.969561 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,722 | epoch: 1 | remaining: 216s    
step 00080 (15.1%) | loss: 5.961100 | lrm: 1.00 | dt: 1142ms | tok/sec: 28,703 | epoch: 1 | remaining: 215s    
step 00081 (15.3%) | loss: 5.940800 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,715 | epoch: 1 | remaining: 214s    
step 00082 (15.5%) | loss: 5.925745 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,711 | epoch: 1 | remaining: 213s    
step 00083 (15.7%) | loss: 5.918074 | lrm: 1.00 | dt: 1063ms | tok/sec: 30,837 | epoch: 1 | remaining: 212s    
step 00084 (15.9%) | loss: 5.892252 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,482 | epoch: 1 | remaining: 211s    
step 00085 (16.1%) | loss: 5.876887 | lrm: 1.00 | dt: 1051ms | tok/sec: 31,164 | epoch: 1 | remaining: 210s    
step 00086 (16.3%) | loss: 5.859957 | lrm: 1.00 | dt: 1100ms | tok/sec: 29,799 | epoch: 1 | remaining: 209s    
step 00087 (16.4%) | loss: 5.848193 | lrm: 1.00 | dt: 1069ms | tok/sec: 30,664 | epoch: 1 | remaining: 208s    
step 00088 (16.6%) | loss: 5.834120 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,966 | epoch: 1 | remaining: 207s    
step 00089 (16.8%) | loss: 5.825313 | lrm: 1.00 | dt: 1110ms | tok/sec: 29,530 | epoch: 1 | remaining: 206s    
step 00090 (17.0%) | loss: 5.811430 | lrm: 1.00 | dt: 1082ms | tok/sec: 30,296 | epoch: 1 | remaining: 204s    
step 00091 (17.2%) | loss: 5.794840 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,721 | epoch: 1 | remaining: 203s    
step 00092 (17.4%) | loss: 5.796102 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,437 | epoch: 1 | remaining: 202s    
step 00093 (17.6%) | loss: 5.800156 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,716 | epoch: 1 | remaining: 201s    
step 00094 (17.8%) | loss: 5.795005 | lrm: 1.00 | dt: 1116ms | tok/sec: 29,370 | epoch: 1 | remaining: 200s    
step 00095 (18.0%) | loss: 5.786574 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,945 | epoch: 1 | remaining: 199s    
step 00096 (18.1%) | loss: 5.771166 | lrm: 1.00 | dt: 1026ms | tok/sec: 31,939 | epoch: 1 | remaining: 198s    
step 00097 (18.3%) | loss: 5.762110 | lrm: 1.00 | dt: 1113ms | tok/sec: 29,441 | epoch: 1 | remaining: 197s    
step 00098 (18.5%) | loss: 5.747893 | lrm: 1.00 | dt: 1127ms | tok/sec: 29,064 | epoch: 1 | remaining: 196s    
step 00099 (18.7%) | loss: 5.733872 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,719 | epoch: 1 | remaining: 195s    
step 00100 (18.9%) | loss: 5.724607 | lrm: 1.00 | dt: 1001ms | tok/sec: 32,734 | epoch: 1 | remaining: 194s    
step 00101 (19.1%) | loss: 5.708358 | lrm: 1.00 | dt: 1032ms | tok/sec: 31,745 | epoch: 1 | remaining: 193s    
step 00102 (19.3%) | loss: 5.693958 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,470 | epoch: 1 | remaining: 192s    
step 00103 (19.5%) | loss: 5.689097 | lrm: 1.00 | dt: 1155ms | tok/sec: 28,359 | epoch: 1 | remaining: 190s    
step 00104 (19.7%) | loss: 5.680000 | lrm: 1.00 | dt: 1057ms | tok/sec: 31,010 | epoch: 1 | remaining: 189s    
step 00105 (19.8%) | loss: 5.662627 | lrm: 1.00 | dt: 1054ms | tok/sec: 31,097 | epoch: 1 | remaining: 188s    
step 00106 (20.0%) | loss: 5.643823 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,475 | epoch: 1 | remaining: 187s    
step 00107 (20.2%) | loss: 5.632619 | lrm: 1.00 | dt: 1074ms | tok/sec: 30,515 | epoch: 1 | remaining: 186s    
step 00108 (20.4%) | loss: 5.618132 | lrm: 1.00 | dt: 1093ms | tok/sec: 29,977 | epoch: 1 | remaining: 185s    
step 00109 (20.6%) | loss: 5.610926 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,932 | epoch: 1 | remaining: 184s    
step 00110 (20.8%) | loss: 5.606121 | lrm: 1.00 | dt: 1070ms | tok/sec: 30,637 | epoch: 1 | remaining: 183s    
step 00111 (21.0%) | loss: 5.585598 | lrm: 1.00 | dt: 1144ms | tok/sec: 28,640 | epoch: 1 | remaining: 182s    
step 00112 (21.2%) | loss: 5.581074 | lrm: 1.00 | dt: 1092ms | tok/sec: 30,017 | epoch: 1 | remaining: 181s    
step 00113 (21.4%) | loss: 5.567950 | lrm: 1.00 | dt: 1064ms | tok/sec: 30,793 | epoch: 1 | remaining: 180s    
step 00114 (21.6%) | loss: 5.556410 | lrm: 1.00 | dt: 1094ms | tok/sec: 29,946 | epoch: 1 | remaining: 179s    
step 00115 (21.7%) | loss: 5.540885 | lrm: 1.00 | dt: 1099ms | tok/sec: 29,826 | epoch: 1 | remaining: 178s    
step 00116 (21.9%) | loss: 5.535468 | lrm: 1.00 | dt: 1088ms | tok/sec: 30,128 | epoch: 1 | remaining: 176s    
step 00117 (22.1%) | loss: 5.520616 | lrm: 1.00 | dt: 1081ms | tok/sec: 30,300 | epoch: 1 | remaining: 175s    
step 00118 (22.3%) | loss: 5.508375 | lrm: 1.00 | dt: 1055ms | tok/sec: 31,059 | epoch: 1 | remaining: 174s    
step 00119 (22.5%) | loss: 5.496371 | lrm: 1.00 | dt: 1038ms | tok/sec: 31,570 | epoch: 1 | remaining: 173s    
step 00120 (22.7%) | loss: 5.487135 | lrm: 1.00 | dt: 1166ms | tok/sec: 28,112 | epoch: 1 | remaining: 172s    
step 00121 (22.9%) | loss: 5.474710 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,204 | epoch: 1 | remaining: 171s    
step 00122 (23.1%) | loss: 5.465393 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,950 | epoch: 1 | remaining: 170s    
step 00123 (23.3%) | loss: 5.452959 | lrm: 1.00 | dt: 1066ms | tok/sec: 30,733 | epoch: 1 | remaining: 169s    
step 00124 (23.4%) | loss: 5.442073 | lrm: 1.00 | dt: 1031ms | tok/sec: 31,789 | epoch: 1 | remaining: 168s    
step 00125 (23.6%) | loss: 5.432333 | lrm: 1.00 | dt: 1157ms | tok/sec: 28,312 | epoch: 1 | remaining: 167s    
step 00126 (23.8%) | loss: 5.421281 | lrm: 1.00 | dt: 1077ms | tok/sec: 30,429 | epoch: 1 | remaining: 166s    
step 00127 (24.0%) | loss: 5.410582 | lrm: 1.00 | dt: 1052ms | tok/sec: 31,146 | epoch: 1 | remaining: 165s    
step 00128 (24.2%) | loss: 5.400585 | lrm: 1.00 | dt: 1057ms | tok/sec: 30,986 | epoch: 1 | remaining: 164s    
step 00129 (24.4%) | loss: 5.391866 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,956 | epoch: 1 | remaining: 162s    
step 00130 (24.6%) | loss: 5.381549 | lrm: 1.00 | dt: 1114ms | tok/sec: 29,425 | epoch: 1 | remaining: 161s    
step 00131 (24.8%) | loss: 5.370586 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,494 | epoch: 1 | remaining: 160s    
step 00132 (25.0%) | loss: 5.368955 | lrm: 1.00 | dt: 1062ms | tok/sec: 30,867 | epoch: 1 | remaining: 159s    
step 00133 (25.1%) | loss: 5.362788 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,781 | epoch: 1 | remaining: 158s    
step 00134 (25.3%) | loss: 5.346813 | lrm: 1.00 | dt: 1060ms | tok/sec: 30,914 | epoch: 1 | remaining: 157s    
step 00135 (25.5%) | loss: 5.330887 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,710 | epoch: 1 | remaining: 156s    
step 00136 (25.7%) | loss: 5.319332 | lrm: 1.00 | dt: 1108ms | tok/sec: 29,565 | epoch: 1 | remaining: 155s    
step 00137 (25.9%) | loss: 5.303969 | lrm: 1.00 | dt: 1117ms | tok/sec: 29,334 | epoch: 1 | remaining: 154s    
step 00138 (26.1%) | loss: 5.305742 | lrm: 1.00 | dt: 1099ms | tok/sec: 29,803 | epoch: 1 | remaining: 153s    
step 00139 (26.3%) | loss: 5.307780 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,208 | epoch: 1 | remaining: 152s    
step 00140 (26.5%) | loss: 5.304037 | lrm: 1.00 | dt: 1072ms | tok/sec: 30,575 | epoch: 1 | remaining: 151s    
step 00141 (26.7%) | loss: 5.306899 | lrm: 1.00 | dt: 1085ms | tok/sec: 30,206 | epoch: 1 | remaining: 150s    
step 00142 (26.8%) | loss: 5.304786 | lrm: 1.00 | dt: 1085ms | tok/sec: 30,197 | epoch: 1 | remaining: 148s    
step 00143 (27.0%) | loss: 5.289167 | lrm: 1.00 | dt: 1084ms | tok/sec: 30,227 | epoch: 1 | remaining: 147s    
step 00144 (27.2%) | loss: 5.281103 | lrm: 1.00 | dt: 1074ms | tok/sec: 30,500 | epoch: 1 | remaining: 146s    
step 00145 (27.4%) | loss: 5.270490 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,480 | epoch: 1 | remaining: 145s    
step 00146 (27.6%) | loss: 5.266450 | lrm: 1.00 | dt: 1066ms | tok/sec: 30,730 | epoch: 1 | remaining: 144s    
step 00147 (27.8%) | loss: 5.248842 | lrm: 1.00 | dt: 1084ms | tok/sec: 30,224 | epoch: 1 | remaining: 143s    
step 00148 (28.0%) | loss: 5.239618 | lrm: 1.00 | dt: 1100ms | tok/sec: 29,798 | epoch: 1 | remaining: 142s    
step 00149 (28.2%) | loss: 5.237809 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,961 | epoch: 1 | remaining: 141s    
step 00150 (28.4%) | loss: 5.225216 | lrm: 1.00 | dt: 1133ms | tok/sec: 28,921 | epoch: 1 | remaining: 140s    
step 00151 (28.5%) | loss: 5.225714 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,967 | epoch: 1 | remaining: 139s    
step 00152 (28.7%) | loss: 5.218535 | lrm: 1.00 | dt: 1096ms | tok/sec: 29,905 | epoch: 1 | remaining: 138s    
step 00153 (28.9%) | loss: 5.207445 | lrm: 1.00 | dt: 1054ms | tok/sec: 31,090 | epoch: 1 | remaining: 137s    
step 00154 (29.1%) | loss: 5.204120 | lrm: 1.00 | dt: 1100ms | tok/sec: 29,775 | epoch: 1 | remaining: 135s    
step 00155 (29.3%) | loss: 5.198748 | lrm: 1.00 | dt: 1066ms | tok/sec: 30,736 | epoch: 1 | remaining: 134s    
step 00156 (29.5%) | loss: 5.189355 | lrm: 1.00 | dt: 1083ms | tok/sec: 30,249 | epoch: 1 | remaining: 133s    
step 00157 (29.7%) | loss: 5.176276 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,712 | epoch: 1 | remaining: 132s    
