Condition: d3
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.6s

step 00000 (0.0%) | loss: 9.011145 | lrm: 1.00 | dt: 596ms | tok/sec: 54,985 | epoch: 1 | remaining: 300s    
step 00001 (0.2%) | loss: 9.035437 | lrm: 1.00 | dt: 340ms | tok/sec: 96,248 | epoch: 1 | remaining: 300s    
step 00002 (0.4%) | loss: 8.672233 | lrm: 1.00 | dt: 499ms | tok/sec: 65,672 | epoch: 1 | remaining: 299s    
step 00003 (0.6%) | loss: 8.373664 | lrm: 1.00 | dt: 612ms | tok/sec: 53,507 | epoch: 1 | remaining: 299s    
step 00004 (0.8%) | loss: 8.161177 | lrm: 1.00 | dt: 1593ms | tok/sec: 20,574 | epoch: 1 | remaining: 297s    
step 00005 (0.9%) | loss: 7.980814 | lrm: 1.00 | dt: 1816ms | tok/sec: 18,046 | epoch: 1 | remaining: 295s    
step 00006 (1.1%) | loss: 7.842267 | lrm: 1.00 | dt: 731ms | tok/sec: 44,805 | epoch: 1 | remaining: 294s    
step 00007 (1.3%) | loss: 7.722251 | lrm: 1.00 | dt: 796ms | tok/sec: 41,173 | epoch: 1 | remaining: 294s    
step 00008 (1.5%) | loss: 7.630596 | lrm: 1.00 | dt: 1208ms | tok/sec: 27,122 | epoch: 1 | remaining: 292s    
step 00009 (1.7%) | loss: 7.557993 | lrm: 1.00 | dt: 1483ms | tok/sec: 22,101 | epoch: 1 | remaining: 291s    
step 00010 (1.9%) | loss: 7.485446 | lrm: 1.00 | dt: 906ms | tok/sec: 36,174 | epoch: 1 | remaining: 290s    
step 00011 (2.1%) | loss: 7.433842 | lrm: 1.00 | dt: 911ms | tok/sec: 35,969 | epoch: 1 | remaining: 289s    
step 00012 (2.3%) | loss: 7.390325 | lrm: 1.00 | dt: 1117ms | tok/sec: 29,331 | epoch: 1 | remaining: 288s    
step 00013 (2.5%) | loss: 7.355460 | lrm: 1.00 | dt: 1231ms | tok/sec: 26,616 | epoch: 1 | remaining: 287s    
step 00014 (2.6%) | loss: 7.327765 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,427 | epoch: 1 | remaining: 286s    
step 00015 (2.8%) | loss: 7.300088 | lrm: 1.00 | dt: 933ms | tok/sec: 35,125 | epoch: 1 | remaining: 285s    
step 00016 (3.0%) | loss: 7.275930 | lrm: 1.00 | dt: 1083ms | tok/sec: 30,264 | epoch: 1 | remaining: 284s    
step 00017 (3.2%) | loss: 7.249212 | lrm: 1.00 | dt: 1184ms | tok/sec: 27,682 | epoch: 1 | remaining: 283s    
step 00018 (3.4%) | loss: 7.248831 | lrm: 1.00 | dt: 1034ms | tok/sec: 31,685 | epoch: 1 | remaining: 281s    
step 00019 (3.6%) | loss: 7.239288 | lrm: 1.00 | dt: 1051ms | tok/sec: 31,186 | epoch: 1 | remaining: 280s    
step 00020 (3.8%) | loss: 7.223595 | lrm: 1.00 | dt: 1133ms | tok/sec: 28,923 | epoch: 1 | remaining: 279s    
step 00021 (4.0%) | loss: 7.207514 | lrm: 1.00 | dt: 1164ms | tok/sec: 28,141 | epoch: 1 | remaining: 278s    
step 00022 (4.2%) | loss: 7.197757 | lrm: 1.00 | dt: 1044ms | tok/sec: 31,382 | epoch: 1 | remaining: 277s    
step 00023 (4.3%) | loss: 7.192775 | lrm: 1.00 | dt: 1038ms | tok/sec: 31,567 | epoch: 1 | remaining: 276s    
step 00024 (4.5%) | loss: 7.178954 | lrm: 1.00 | dt: 1142ms | tok/sec: 28,685 | epoch: 1 | remaining: 275s    
step 00025 (4.7%) | loss: 7.170578 | lrm: 1.00 | dt: 1094ms | tok/sec: 29,956 | epoch: 1 | remaining: 274s    
step 00026 (4.9%) | loss: 7.157376 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,211 | epoch: 1 | remaining: 273s    
step 00027 (5.1%) | loss: 7.139578 | lrm: 1.00 | dt: 1009ms | tok/sec: 32,483 | epoch: 1 | remaining: 272s    
step 00028 (5.3%) | loss: 7.125742 | lrm: 1.00 | dt: 1117ms | tok/sec: 29,339 | epoch: 1 | remaining: 271s    
step 00029 (5.5%) | loss: 7.111857 | lrm: 1.00 | dt: 1158ms | tok/sec: 28,306 | epoch: 1 | remaining: 269s    
step 00030 (5.7%) | loss: 7.093661 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,215 | epoch: 1 | remaining: 268s    
step 00031 (5.9%) | loss: 7.074506 | lrm: 1.00 | dt: 1025ms | tok/sec: 31,963 | epoch: 1 | remaining: 267s    
step 00032 (6.0%) | loss: 7.057384 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,435 | epoch: 1 | remaining: 266s    
step 00033 (6.2%) | loss: 7.040199 | lrm: 1.00 | dt: 1156ms | tok/sec: 28,339 | epoch: 1 | remaining: 265s    
step 00034 (6.4%) | loss: 7.023602 | lrm: 1.00 | dt: 1102ms | tok/sec: 29,742 | epoch: 1 | remaining: 264s    
