Condition: d1
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.6s

step 00000 (0.0%) | loss: 9.011134 | lrm: 1.00 | dt: 564ms | tok/sec: 58,139 | epoch: 1 | remaining: 300s    
step 00001 (0.1%) | loss: 9.041984 | lrm: 1.00 | dt: 294ms | tok/sec: 111,380 | epoch: 1 | remaining: 300s    
step 00002 (0.2%) | loss: 8.676188 | lrm: 1.00 | dt: 445ms | tok/sec: 73,579 | epoch: 1 | remaining: 299s    
step 00003 (0.3%) | loss: 8.316484 | lrm: 1.00 | dt: 369ms | tok/sec: 88,848 | epoch: 1 | remaining: 299s    
step 00004 (0.4%) | loss: 8.025003 | lrm: 1.00 | dt: 503ms | tok/sec: 65,189 | epoch: 1 | remaining: 298s    
step 00005 (0.5%) | loss: 7.783904 | lrm: 1.00 | dt: 502ms | tok/sec: 65,315 | epoch: 1 | remaining: 298s    
step 00006 (0.6%) | loss: 7.596364 | lrm: 1.00 | dt: 498ms | tok/sec: 65,837 | epoch: 1 | remaining: 297s    
step 00007 (0.7%) | loss: 7.438611 | lrm: 1.00 | dt: 1478ms | tok/sec: 22,173 | epoch: 1 | remaining: 296s    
step 00008 (0.8%) | loss: 7.321430 | lrm: 1.00 | dt: 1881ms | tok/sec: 17,416 | epoch: 1 | remaining: 294s    
step 00009 (0.9%) | loss: 7.226497 | lrm: 1.00 | dt: 649ms | tok/sec: 50,491 | epoch: 1 | remaining: 293s    
step 00010 (1.0%) | loss: 7.113248 | lrm: 1.00 | dt: 559ms | tok/sec: 58,612 | epoch: 1 | remaining: 293s    
step 00011 (1.1%) | loss: 7.006963 | lrm: 1.00 | dt: 824ms | tok/sec: 39,743 | epoch: 1 | remaining: 292s    
step 00012 (1.2%) | loss: 6.899372 | lrm: 1.00 | dt: 1593ms | tok/sec: 20,570 | epoch: 1 | remaining: 290s    
step 00013 (1.3%) | loss: 6.808833 | lrm: 1.00 | dt: 1106ms | tok/sec: 29,629 | epoch: 1 | remaining: 289s    
step 00014 (1.4%) | loss: 6.719958 | lrm: 1.00 | dt: 777ms | tok/sec: 42,167 | epoch: 1 | remaining: 289s    
step 00015 (1.5%) | loss: 6.632646 | lrm: 1.00 | dt: 737ms | tok/sec: 44,477 | epoch: 1 | remaining: 288s    
step 00016 (1.6%) | loss: 6.542455 | lrm: 1.00 | dt: 871ms | tok/sec: 37,618 | epoch: 1 | remaining: 287s    
step 00017 (1.7%) | loss: 6.469453 | lrm: 1.00 | dt: 1257ms | tok/sec: 26,059 | epoch: 1 | remaining: 286s    
step 00018 (1.8%) | loss: 6.384726 | lrm: 1.00 | dt: 1193ms | tok/sec: 27,469 | epoch: 1 | remaining: 284s    
step 00019 (1.9%) | loss: 6.312242 | lrm: 1.00 | dt: 851ms | tok/sec: 38,490 | epoch: 1 | remaining: 284s    
step 00020 (2.0%) | loss: 6.235273 | lrm: 1.00 | dt: 798ms | tok/sec: 41,064 | epoch: 1 | remaining: 283s    
step 00021 (2.1%) | loss: 6.175059 | lrm: 1.00 | dt: 959ms | tok/sec: 34,174 | epoch: 1 | remaining: 282s    
step 00022 (2.2%) | loss: 6.114256 | lrm: 1.00 | dt: 1234ms | tok/sec: 26,547 | epoch: 1 | remaining: 281s    
step 00023 (2.3%) | loss: 6.055206 | lrm: 1.00 | dt: 982ms | tok/sec: 33,360 | epoch: 1 | remaining: 280s    
step 00024 (2.4%) | loss: 5.996717 | lrm: 1.00 | dt: 991ms | tok/sec: 33,078 | epoch: 1 | remaining: 279s    
step 00025 (2.5%) | loss: 5.940647 | lrm: 1.00 | dt: 967ms | tok/sec: 33,882 | epoch: 1 | remaining: 278s    
step 00026 (2.6%) | loss: 5.894400 | lrm: 1.00 | dt: 984ms | tok/sec: 33,285 | epoch: 1 | remaining: 277s    
step 00027 (2.7%) | loss: 5.849624 | lrm: 1.00 | dt: 975ms | tok/sec: 33,616 | epoch: 1 | remaining: 276s    
step 00028 (2.8%) | loss: 5.795788 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,208 | epoch: 1 | remaining: 275s    
step 00029 (2.9%) | loss: 5.746608 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,502 | epoch: 1 | remaining: 274s    
step 00030 (3.0%) | loss: 5.697605 | lrm: 1.00 | dt: 974ms | tok/sec: 33,651 | epoch: 1 | remaining: 273s    
step 00031 (3.1%) | loss: 5.649387 | lrm: 1.00 | dt: 968ms | tok/sec: 33,860 | epoch: 1 | remaining: 272s    
step 00032 (3.2%) | loss: 5.607460 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,968 | epoch: 1 | remaining: 271s    
step 00033 (3.3%) | loss: 5.569828 | lrm: 1.00 | dt: 1009ms | tok/sec: 32,461 | epoch: 1 | remaining: 270s    
step 00034 (3.4%) | loss: 5.520429 | lrm: 1.00 | dt: 966ms | tok/sec: 33,935 | epoch: 1 | remaining: 269s    
step 00035 (3.5%) | loss: 5.476219 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,506 | epoch: 1 | remaining: 268s    
step 00036 (3.6%) | loss: 5.427875 | lrm: 1.00 | dt: 992ms | tok/sec: 33,028 | epoch: 1 | remaining: 267s    
step 00037 (3.6%) | loss: 5.392287 | lrm: 1.00 | dt: 975ms | tok/sec: 33,612 | epoch: 1 | remaining: 266s    
step 00038 (3.7%) | loss: 5.355546 | lrm: 1.00 | dt: 998ms | tok/sec: 32,833 | epoch: 1 | remaining: 265s    
step 00039 (3.8%) | loss: 5.323669 | lrm: 1.00 | dt: 1010ms | tok/sec: 32,447 | epoch: 1 | remaining: 264s    
step 00040 (3.9%) | loss: 5.279558 | lrm: 1.00 | dt: 967ms | tok/sec: 33,888 | epoch: 1 | remaining: 263s    
step 00041 (4.0%) | loss: 5.253578 | lrm: 1.00 | dt: 1048ms | tok/sec: 31,263 | epoch: 1 | remaining: 262s    
step 00042 (4.1%) | loss: 5.207723 | lrm: 1.00 | dt: 984ms | tok/sec: 33,300 | epoch: 1 | remaining: 261s    
step 00043 (4.2%) | loss: 5.171724 | lrm: 1.00 | dt: 958ms | tok/sec: 34,199 | epoch: 1 | remaining: 260s    
step 00044 (4.3%) | loss: 5.137012 | lrm: 1.00 | dt: 943ms | tok/sec: 34,756 | epoch: 1 | remaining: 259s    
step 00045 (4.4%) | loss: 5.119859 | lrm: 1.00 | dt: 983ms | tok/sec: 33,320 | epoch: 1 | remaining: 258s    
step 00046 (4.5%) | loss: 5.092468 | lrm: 1.00 | dt: 983ms | tok/sec: 33,332 | epoch: 1 | remaining: 257s    
step 00047 (4.6%) | loss: 5.064375 | lrm: 1.00 | dt: 1033ms | tok/sec: 31,710 | epoch: 1 | remaining: 256s    
step 00048 (4.7%) | loss: 5.041310 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,517 | epoch: 1 | remaining: 255s    
step 00049 (4.8%) | loss: 5.026393 | lrm: 1.00 | dt: 917ms | tok/sec: 35,739 | epoch: 1 | remaining: 254s    
step 00050 (4.9%) | loss: 4.999378 | lrm: 1.00 | dt: 976ms | tok/sec: 33,590 | epoch: 1 | remaining: 253s    
step 00051 (5.0%) | loss: 4.974875 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,752 | epoch: 1 | remaining: 252s    
step 00052 (5.1%) | loss: 4.947927 | lrm: 1.00 | dt: 974ms | tok/sec: 33,655 | epoch: 1 | remaining: 251s    
step 00053 (5.2%) | loss: 4.927720 | lrm: 1.00 | dt: 950ms | tok/sec: 34,483 | epoch: 1 | remaining: 250s    
step 00054 (5.3%) | loss: 4.908189 | lrm: 1.00 | dt: 984ms | tok/sec: 33,314 | epoch: 1 | remaining: 249s    
step 00055 (5.4%) | loss: 4.889990 | lrm: 1.00 | dt: 992ms | tok/sec: 33,043 | epoch: 1 | remaining: 248s    
step 00056 (5.5%) | loss: 4.872525 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,769 | epoch: 1 | remaining: 247s    
step 00057 (5.6%) | loss: 4.852800 | lrm: 1.00 | dt: 958ms | tok/sec: 34,209 | epoch: 1 | remaining: 246s    
step 00058 (5.7%) | loss: 4.846495 | lrm: 1.00 | dt: 977ms | tok/sec: 33,549 | epoch: 1 | remaining: 245s    
step 00059 (5.8%) | loss: 4.833753 | lrm: 1.00 | dt: 991ms | tok/sec: 33,055 | epoch: 1 | remaining: 244s    
step 00060 (5.9%) | loss: 4.812117 | lrm: 1.00 | dt: 1049ms | tok/sec: 31,233 | epoch: 1 | remaining: 243s    
step 00061 (6.0%) | loss: 4.795511 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,773 | epoch: 1 | remaining: 242s    
step 00062 (6.1%) | loss: 4.778180 | lrm: 1.00 | dt: 999ms | tok/sec: 32,792 | epoch: 1 | remaining: 241s    
step 00063 (6.2%) | loss: 4.771689 | lrm: 1.00 | dt: 933ms | tok/sec: 35,123 | epoch: 1 | remaining: 240s    
step 00064 (6.3%) | loss: 4.756447 | lrm: 1.00 | dt: 984ms | tok/sec: 33,294 | epoch: 1 | remaining: 239s    
step 00065 (6.4%) | loss: 4.742096 | lrm: 1.00 | dt: 992ms | tok/sec: 33,045 | epoch: 1 | remaining: 238s    
step 00066 (6.5%) | loss: 4.731548 | lrm: 1.00 | dt: 1068ms | tok/sec: 30,693 | epoch: 1 | remaining: 237s    
step 00067 (6.6%) | loss: 4.713800 | lrm: 1.00 | dt: 1016ms | tok/sec: 32,262 | epoch: 1 | remaining: 236s    
step 00068 (6.7%) | loss: 4.702046 | lrm: 1.00 | dt: 959ms | tok/sec: 34,186 | epoch: 1 | remaining: 235s    
step 00069 (6.8%) | loss: 4.686630 | lrm: 1.00 | dt: 942ms | tok/sec: 34,795 | epoch: 1 | remaining: 234s    
step 00070 (6.9%) | loss: 4.670859 | lrm: 1.00 | dt: 991ms | tok/sec: 33,055 | epoch: 1 | remaining: 233s    
step 00071 (7.0%) | loss: 4.653920 | lrm: 1.00 | dt: 1117ms | tok/sec: 29,329 | epoch: 1 | remaining: 232s    
step 00072 (7.1%) | loss: 4.642371 | lrm: 1.00 | dt: 1016ms | tok/sec: 32,239 | epoch: 1 | remaining: 231s    
step 00073 (7.2%) | loss: 4.629604 | lrm: 1.00 | dt: 958ms | tok/sec: 34,221 | epoch: 1 | remaining: 230s    
step 00074 (7.3%) | loss: 4.612602 | lrm: 1.00 | dt: 967ms | tok/sec: 33,878 | epoch: 1 | remaining: 229s    
step 00075 (7.4%) | loss: 4.599304 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,504 | epoch: 1 | remaining: 228s    
step 00076 (7.5%) | loss: 4.591627 | lrm: 1.00 | dt: 1007ms | tok/sec: 32,547 | epoch: 1 | remaining: 227s    
step 00077 (7.6%) | loss: 4.576412 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,409 | epoch: 1 | remaining: 226s    
step 00078 (7.7%) | loss: 4.567343 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,761 | epoch: 1 | remaining: 225s    
step 00079 (7.8%) | loss: 4.562142 | lrm: 1.00 | dt: 997ms | tok/sec: 32,858 | epoch: 1 | remaining: 224s    
step 00080 (7.9%) | loss: 4.547402 | lrm: 1.00 | dt: 994ms | tok/sec: 32,968 | epoch: 1 | remaining: 223s    
step 00081 (8.0%) | loss: 4.537006 | lrm: 1.00 | dt: 1026ms | tok/sec: 31,932 | epoch: 1 | remaining: 222s    
step 00082 (8.1%) | loss: 4.526917 | lrm: 1.00 | dt: 1082ms | tok/sec: 30,283 | epoch: 1 | remaining: 221s    
step 00083 (8.2%) | loss: 4.512530 | lrm: 1.00 | dt: 992ms | tok/sec: 33,043 | epoch: 1 | remaining: 220s    
step 00084 (8.3%) | loss: 4.497225 | lrm: 1.00 | dt: 1012ms | tok/sec: 32,366 | epoch: 1 | remaining: 219s    
step 00085 (8.4%) | loss: 4.482318 | lrm: 1.00 | dt: 1035ms | tok/sec: 31,668 | epoch: 1 | remaining: 218s    
step 00086 (8.5%) | loss: 4.460589 | lrm: 1.00 | dt: 1010ms | tok/sec: 32,454 | epoch: 1 | remaining: 217s    
step 00087 (8.6%) | loss: 4.459620 | lrm: 1.00 | dt: 1033ms | tok/sec: 31,723 | epoch: 1 | remaining: 216s    
step 00088 (8.7%) | loss: 4.446449 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,775 | epoch: 1 | remaining: 215s    
step 00089 (8.8%) | loss: 4.447850 | lrm: 1.00 | dt: 1003ms | tok/sec: 32,675 | epoch: 1 | remaining: 214s    
step 00090 (8.9%) | loss: 4.443152 | lrm: 1.00 | dt: 1005ms | tok/sec: 32,615 | epoch: 1 | remaining: 213s    
step 00091 (9.0%) | loss: 4.434866 | lrm: 1.00 | dt: 1011ms | tok/sec: 32,418 | epoch: 1 | remaining: 212s    
step 00092 (9.1%) | loss: 4.443590 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,764 | epoch: 1 | remaining: 211s    
step 00093 (9.2%) | loss: 4.429584 | lrm: 1.00 | dt: 1006ms | tok/sec: 32,577 | epoch: 1 | remaining: 210s    
step 00094 (9.3%) | loss: 4.425036 | lrm: 1.00 | dt: 1019ms | tok/sec: 32,158 | epoch: 1 | remaining: 209s    
step 00095 (9.4%) | loss: 4.412967 | lrm: 1.00 | dt: 1017ms | tok/sec: 32,214 | epoch: 1 | remaining: 208s    
step 00096 (9.5%) | loss: 4.400757 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,518 | epoch: 1 | remaining: 207s    
step 00097 (9.6%) | loss: 4.383598 | lrm: 1.00 | dt: 999ms | tok/sec: 32,796 | epoch: 1 | remaining: 206s    
step 00098 (9.7%) | loss: 4.372541 | lrm: 1.00 | dt: 1002ms | tok/sec: 32,709 | epoch: 1 | remaining: 205s    
step 00099 (9.8%) | loss: 4.359986 | lrm: 1.00 | dt: 1017ms | tok/sec: 32,217 | epoch: 1 | remaining: 204s    
step 00100 (9.9%) | loss: 4.347253 | lrm: 1.00 | dt: 1032ms | tok/sec: 31,753 | epoch: 1 | remaining: 203s    
step 00101 (10.0%) | loss: 4.334417 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,941 | epoch: 1 | remaining: 202s    
