Condition: d3
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.7s

step 00000 (0.0%) | loss: 9.010902 | lrm: 1.00 | dt: 667ms | tok/sec: 49,149 | epoch: 1 | remaining: 300s    
step 00001 (0.1%) | loss: 8.976482 | lrm: 1.00 | dt: 375ms | tok/sec: 87,325 | epoch: 1 | remaining: 300s    
step 00002 (0.2%) | loss: 8.616237 | lrm: 1.00 | dt: 505ms | tok/sec: 64,943 | epoch: 1 | remaining: 299s    
step 00003 (0.3%) | loss: 8.328536 | lrm: 1.00 | dt: 1358ms | tok/sec: 24,130 | epoch: 1 | remaining: 298s    
step 00004 (0.5%) | loss: 8.118281 | lrm: 1.00 | dt: 1791ms | tok/sec: 18,296 | epoch: 1 | remaining: 296s    
step 00005 (0.6%) | loss: 7.945978 | lrm: 1.00 | dt: 713ms | tok/sec: 45,978 | epoch: 1 | remaining: 295s    
step 00006 (0.7%) | loss: 7.811731 | lrm: 1.00 | dt: 719ms | tok/sec: 45,548 | epoch: 1 | remaining: 295s    
step 00007 (0.8%) | loss: 7.700288 | lrm: 1.00 | dt: 961ms | tok/sec: 34,110 | epoch: 1 | remaining: 294s    
step 00008 (0.9%) | loss: 7.614464 | lrm: 1.00 | dt: 1407ms | tok/sec: 23,286 | epoch: 1 | remaining: 292s    
step 00009 (1.0%) | loss: 7.545173 | lrm: 1.00 | dt: 1064ms | tok/sec: 30,783 | epoch: 1 | remaining: 291s    
step 00010 (1.1%) | loss: 7.473912 | lrm: 1.00 | dt: 818ms | tok/sec: 40,039 | epoch: 1 | remaining: 290s    
step 00011 (1.2%) | loss: 7.424655 | lrm: 1.00 | dt: 926ms | tok/sec: 35,381 | epoch: 1 | remaining: 289s    
step 00012 (1.4%) | loss: 7.378267 | lrm: 1.00 | dt: 1284ms | tok/sec: 25,517 | epoch: 1 | remaining: 288s    
step 00013 (1.5%) | loss: 7.342758 | lrm: 1.00 | dt: 1150ms | tok/sec: 28,490 | epoch: 1 | remaining: 287s    
step 00014 (1.6%) | loss: 7.311270 | lrm: 1.00 | dt: 895ms | tok/sec: 36,605 | epoch: 1 | remaining: 286s    
step 00015 (1.7%) | loss: 7.280479 | lrm: 1.00 | dt: 1012ms | tok/sec: 32,365 | epoch: 1 | remaining: 285s    
step 00016 (1.8%) | loss: 7.246628 | lrm: 1.00 | dt: 1224ms | tok/sec: 26,776 | epoch: 1 | remaining: 284s    
step 00017 (1.9%) | loss: 7.215822 | lrm: 1.00 | dt: 990ms | tok/sec: 33,094 | epoch: 1 | remaining: 283s    
step 00018 (2.0%) | loss: 7.194050 | lrm: 1.00 | dt: 1028ms | tok/sec: 31,865 | epoch: 1 | remaining: 282s    
step 00019 (2.2%) | loss: 7.188910 | lrm: 1.00 | dt: 1149ms | tok/sec: 28,523 | epoch: 1 | remaining: 281s    
step 00020 (2.3%) | loss: 7.165240 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,214 | epoch: 1 | remaining: 280s    
step 00021 (2.4%) | loss: 7.139855 | lrm: 1.00 | dt: 1023ms | tok/sec: 32,029 | epoch: 1 | remaining: 279s    
step 00022 (2.5%) | loss: 7.118341 | lrm: 1.00 | dt: 1052ms | tok/sec: 31,151 | epoch: 1 | remaining: 278s    
step 00023 (2.6%) | loss: 7.105976 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,721 | epoch: 1 | remaining: 276s    
step 00024 (2.7%) | loss: 7.084651 | lrm: 1.00 | dt: 1030ms | tok/sec: 31,818 | epoch: 1 | remaining: 275s    
step 00025 (2.8%) | loss: 7.071338 | lrm: 1.00 | dt: 1001ms | tok/sec: 32,719 | epoch: 1 | remaining: 274s    
step 00026 (2.9%) | loss: 7.053323 | lrm: 1.00 | dt: 1053ms | tok/sec: 31,117 | epoch: 1 | remaining: 273s    
step 00027 (3.1%) | loss: 7.029791 | lrm: 1.00 | dt: 1155ms | tok/sec: 28,367 | epoch: 1 | remaining: 272s    
step 00028 (3.2%) | loss: 7.010335 | lrm: 1.00 | dt: 1010ms | tok/sec: 32,432 | epoch: 1 | remaining: 271s    
step 00029 (3.3%) | loss: 6.994745 | lrm: 1.00 | dt: 1083ms | tok/sec: 30,248 | epoch: 1 | remaining: 270s    
step 00030 (3.4%) | loss: 6.977990 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,452 | epoch: 1 | remaining: 269s    
step 00031 (3.5%) | loss: 6.959531 | lrm: 1.00 | dt: 1047ms | tok/sec: 31,297 | epoch: 1 | remaining: 268s    
