Condition: d1
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.5s

step 00000 (0.0%) | loss: 9.011253 | lrm: 1.00 | dt: 531ms | tok/sec: 61,738 | epoch: 1 | remaining: 300s    
step 00001 (0.3%) | loss: 8.975000 | lrm: 1.00 | dt: 279ms | tok/sec: 117,443 | epoch: 1 | remaining: 300s    
step 00002 (0.7%) | loss: 8.602246 | lrm: 1.00 | dt: 278ms | tok/sec: 117,942 | epoch: 1 | remaining: 299s    
step 00003 (1.0%) | loss: 8.240041 | lrm: 1.00 | dt: 278ms | tok/sec: 117,786 | epoch: 1 | remaining: 299s    
step 00004 (1.3%) | loss: 7.949689 | lrm: 1.00 | dt: 306ms | tok/sec: 107,007 | epoch: 1 | remaining: 299s    
step 00005 (1.6%) | loss: 7.716744 | lrm: 1.00 | dt: 799ms | tok/sec: 41,023 | epoch: 1 | remaining: 298s    
step 00006 (2.0%) | loss: 7.541579 | lrm: 1.00 | dt: 473ms | tok/sec: 69,213 | epoch: 1 | remaining: 298s    
step 00007 (2.3%) | loss: 7.393312 | lrm: 1.00 | dt: 450ms | tok/sec: 72,767 | epoch: 1 | remaining: 297s    
step 00008 (2.6%) | loss: 7.257981 | lrm: 1.00 | dt: 416ms | tok/sec: 78,789 | epoch: 1 | remaining: 297s    
step 00009 (3.0%) | loss: 7.157143 | lrm: 1.00 | dt: 394ms | tok/sec: 83,113 | epoch: 1 | remaining: 296s    
step 00010 (3.3%) | loss: 7.076226 | lrm: 1.00 | dt: 402ms | tok/sec: 81,555 | epoch: 1 | remaining: 296s    
step 00011 (3.6%) | loss: 6.970684 | lrm: 1.00 | dt: 610ms | tok/sec: 53,749 | epoch: 1 | remaining: 295s    
step 00012 (3.9%) | loss: 6.868544 | lrm: 1.00 | dt: 776ms | tok/sec: 42,234 | epoch: 1 | remaining: 295s    
step 00013 (4.3%) | loss: 6.771641 | lrm: 1.00 | dt: 479ms | tok/sec: 68,352 | epoch: 1 | remaining: 294s    
step 00014 (4.6%) | loss: 6.680611 | lrm: 1.00 | dt: 397ms | tok/sec: 82,614 | epoch: 1 | remaining: 294s    
step 00015 (4.9%) | loss: 6.589464 | lrm: 1.00 | dt: 357ms | tok/sec: 91,739 | epoch: 1 | remaining: 293s    
step 00016 (5.3%) | loss: 6.498421 | lrm: 1.00 | dt: 343ms | tok/sec: 95,593 | epoch: 1 | remaining: 293s    
step 00017 (5.6%) | loss: 6.427126 | lrm: 1.00 | dt: 331ms | tok/sec: 98,923 | epoch: 1 | remaining: 293s    
step 00018 (5.9%) | loss: 6.339831 | lrm: 1.00 | dt: 330ms | tok/sec: 99,243 | epoch: 1 | remaining: 292s    
step 00019 (6.2%) | loss: 6.267825 | lrm: 1.00 | dt: 319ms | tok/sec: 102,863 | epoch: 1 | remaining: 292s    
step 00020 (6.6%) | loss: 6.189767 | lrm: 1.00 | dt: 330ms | tok/sec: 99,348 | epoch: 1 | remaining: 292s    
step 00021 (6.9%) | loss: 6.128893 | lrm: 1.00 | dt: 329ms | tok/sec: 99,741 | epoch: 1 | remaining: 291s    
step 00022 (7.2%) | loss: 6.068134 | lrm: 1.00 | dt: 343ms | tok/sec: 95,417 | epoch: 1 | remaining: 291s    
step 00023 (7.6%) | loss: 6.009759 | lrm: 1.00 | dt: 366ms | tok/sec: 89,490 | epoch: 1 | remaining: 291s    
step 00024 (7.9%) | loss: 5.952072 | lrm: 1.00 | dt: 415ms | tok/sec: 79,044 | epoch: 1 | remaining: 290s    
step 00025 (8.2%) | loss: 5.900513 | lrm: 1.00 | dt: 491ms | tok/sec: 66,704 | epoch: 1 | remaining: 290s    
step 00026 (8.6%) | loss: 5.857422 | lrm: 1.00 | dt: 576ms | tok/sec: 56,859 | epoch: 1 | remaining: 289s    
step 00027 (8.9%) | loss: 5.816199 | lrm: 1.00 | dt: 597ms | tok/sec: 54,846 | epoch: 1 | remaining: 289s    
step 00028 (9.2%) | loss: 5.766730 | lrm: 1.00 | dt: 507ms | tok/sec: 64,608 | epoch: 1 | remaining: 288s    
step 00029 (9.5%) | loss: 5.722328 | lrm: 1.00 | dt: 444ms | tok/sec: 73,757 | epoch: 1 | remaining: 288s    
step 00030 (9.9%) | loss: 5.677987 | lrm: 1.00 | dt: 401ms | tok/sec: 81,742 | epoch: 1 | remaining: 287s    
