Condition: d3
Data/tokenizer loaded in 0.4s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.6s

step 00000 (0.0%) | loss: 9.011145 | lrm: 1.00 | dt: 631ms | tok/sec: 51,965 | epoch: 1 | remaining: 300s    
step 00001 (0.4%) | loss: 9.035442 | lrm: 1.00 | dt: 351ms | tok/sec: 93,337 | epoch: 1 | remaining: 300s    
step 00002 (0.8%) | loss: 8.672236 | lrm: 1.00 | dt: 536ms | tok/sec: 61,179 | epoch: 1 | remaining: 299s    
step 00003 (1.1%) | loss: 8.373518 | lrm: 1.00 | dt: 796ms | tok/sec: 41,190 | epoch: 1 | remaining: 298s    
step 00004 (1.5%) | loss: 8.162880 | lrm: 1.00 | dt: 1622ms | tok/sec: 20,203 | epoch: 1 | remaining: 297s    
step 00005 (1.9%) | loss: 7.982844 | lrm: 1.00 | dt: 1587ms | tok/sec: 20,650 | epoch: 1 | remaining: 295s    
step 00006 (2.3%) | loss: 7.843967 | lrm: 1.00 | dt: 698ms | tok/sec: 46,946 | epoch: 1 | remaining: 294s    
step 00007 (2.7%) | loss: 7.724472 | lrm: 1.00 | dt: 739ms | tok/sec: 44,365 | epoch: 1 | remaining: 294s    
step 00008 (3.0%) | loss: 7.633570 | lrm: 1.00 | dt: 1144ms | tok/sec: 28,647 | epoch: 1 | remaining: 293s    
step 00009 (3.4%) | loss: 7.562039 | lrm: 1.00 | dt: 1516ms | tok/sec: 21,611 | epoch: 1 | remaining: 291s    
step 00010 (3.8%) | loss: 7.488718 | lrm: 1.00 | dt: 941ms | tok/sec: 34,838 | epoch: 1 | remaining: 290s    
step 00011 (4.2%) | loss: 7.437187 | lrm: 1.00 | dt: 1023ms | tok/sec: 32,043 | epoch: 1 | remaining: 289s    
step 00012 (4.5%) | loss: 7.393943 | lrm: 1.00 | dt: 1179ms | tok/sec: 27,802 | epoch: 1 | remaining: 288s    
step 00013 (4.9%) | loss: 7.359320 | lrm: 1.00 | dt: 1107ms | tok/sec: 29,587 | epoch: 1 | remaining: 287s    
step 00014 (5.3%) | loss: 7.330158 | lrm: 1.00 | dt: 976ms | tok/sec: 33,585 | epoch: 1 | remaining: 286s    
step 00015 (5.7%) | loss: 7.304435 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,979 | epoch: 1 | remaining: 285s    
step 00016 (6.1%) | loss: 7.276953 | lrm: 1.00 | dt: 1126ms | tok/sec: 29,100 | epoch: 1 | remaining: 284s    
