Condition: d1
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.6s

step 00000 (0.0%) | loss: 9.011134 | lrm: 1.00 | dt: 559ms | tok/sec: 58,611 | epoch: 1 | remaining: 300s    
step 00001 (0.3%) | loss: 9.041990 | lrm: 1.00 | dt: 282ms | tok/sec: 116,228 | epoch: 1 | remaining: 300s    
step 00002 (0.7%) | loss: 8.676077 | lrm: 1.00 | dt: 280ms | tok/sec: 116,915 | epoch: 1 | remaining: 299s    
step 00003 (1.0%) | loss: 8.316328 | lrm: 1.00 | dt: 275ms | tok/sec: 119,099 | epoch: 1 | remaining: 299s    
step 00004 (1.3%) | loss: 8.024847 | lrm: 1.00 | dt: 280ms | tok/sec: 116,827 | epoch: 1 | remaining: 299s    
step 00005 (1.6%) | loss: 7.783760 | lrm: 1.00 | dt: 280ms | tok/sec: 117,122 | epoch: 1 | remaining: 299s    
step 00006 (2.0%) | loss: 7.596157 | lrm: 1.00 | dt: 273ms | tok/sec: 119,897 | epoch: 1 | remaining: 298s    
step 00007 (2.3%) | loss: 7.436444 | lrm: 1.00 | dt: 290ms | tok/sec: 113,028 | epoch: 1 | remaining: 298s    
step 00008 (2.6%) | loss: 7.305122 | lrm: 1.00 | dt: 284ms | tok/sec: 115,481 | epoch: 1 | remaining: 298s    
step 00009 (3.0%) | loss: 7.223009 | lrm: 1.00 | dt: 281ms | tok/sec: 116,665 | epoch: 1 | remaining: 297s    
step 00010 (3.3%) | loss: 7.117530 | lrm: 1.00 | dt: 288ms | tok/sec: 113,754 | epoch: 1 | remaining: 297s    
step 00011 (3.6%) | loss: 7.003840 | lrm: 1.00 | dt: 290ms | tok/sec: 113,099 | epoch: 1 | remaining: 297s    
step 00012 (3.9%) | loss: 6.892291 | lrm: 1.00 | dt: 300ms | tok/sec: 109,230 | epoch: 1 | remaining: 297s    
step 00013 (4.3%) | loss: 6.803569 | lrm: 1.00 | dt: 297ms | tok/sec: 110,444 | epoch: 1 | remaining: 296s    
