Condition: d3
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.7s

step 00000 (0.0%) | loss: 9.011145 | lrm: 1.00 | dt: 647ms | tok/sec: 50,651 | epoch: 1 | remaining: 300s    
step 00001 (0.1%) | loss: 9.035436 | lrm: 1.00 | dt: 348ms | tok/sec: 94,044 | epoch: 1 | remaining: 300s    
step 00002 (0.2%) | loss: 8.672210 | lrm: 1.00 | dt: 454ms | tok/sec: 72,178 | epoch: 1 | remaining: 299s    
step 00003 (0.3%) | loss: 8.375089 | lrm: 1.00 | dt: 845ms | tok/sec: 38,758 | epoch: 1 | remaining: 298s    
step 00004 (0.5%) | loss: 8.161784 | lrm: 1.00 | dt: 2335ms | tok/sec: 14,034 | epoch: 1 | remaining: 296s    
step 00005 (0.6%) | loss: 7.984417 | lrm: 1.00 | dt: 883ms | tok/sec: 37,100 | epoch: 1 | remaining: 295s    
step 00006 (0.7%) | loss: 7.847624 | lrm: 1.00 | dt: 618ms | tok/sec: 52,985 | epoch: 1 | remaining: 295s    
step 00007 (0.8%) | loss: 7.731055 | lrm: 1.00 | dt: 824ms | tok/sec: 39,787 | epoch: 1 | remaining: 294s    
step 00008 (0.9%) | loss: 7.639986 | lrm: 1.00 | dt: 1322ms | tok/sec: 24,785 | epoch: 1 | remaining: 292s    
step 00009 (1.0%) | loss: 7.563739 | lrm: 1.00 | dt: 1269ms | tok/sec: 25,822 | epoch: 1 | remaining: 291s    
step 00010 (1.1%) | loss: 7.483354 | lrm: 1.00 | dt: 857ms | tok/sec: 38,255 | epoch: 1 | remaining: 290s    
step 00011 (1.2%) | loss: 7.422124 | lrm: 1.00 | dt: 961ms | tok/sec: 34,089 | epoch: 1 | remaining: 289s    
step 00012 (1.4%) | loss: 7.366725 | lrm: 1.00 | dt: 1200ms | tok/sec: 27,302 | epoch: 1 | remaining: 288s    
step 00013 (1.5%) | loss: 7.323625 | lrm: 1.00 | dt: 1115ms | tok/sec: 29,398 | epoch: 1 | remaining: 287s    
step 00014 (1.6%) | loss: 7.288890 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,196 | epoch: 1 | remaining: 286s    
step 00015 (1.7%) | loss: 7.253109 | lrm: 1.00 | dt: 1015ms | tok/sec: 32,276 | epoch: 1 | remaining: 285s    
step 00016 (1.8%) | loss: 7.214890 | lrm: 1.00 | dt: 1018ms | tok/sec: 32,178 | epoch: 1 | remaining: 284s    
step 00017 (1.9%) | loss: 7.180646 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,724 | epoch: 1 | remaining: 283s    
step 00018 (2.0%) | loss: 7.153713 | lrm: 1.00 | dt: 1048ms | tok/sec: 31,280 | epoch: 1 | remaining: 282s    
step 00019 (2.2%) | loss: 7.131447 | lrm: 1.00 | dt: 1001ms | tok/sec: 32,724 | epoch: 1 | remaining: 281s    
step 00020 (2.3%) | loss: 7.105420 | lrm: 1.00 | dt: 1035ms | tok/sec: 31,666 | epoch: 1 | remaining: 280s    
step 00021 (2.4%) | loss: 7.079065 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,762 | epoch: 1 | remaining: 279s    
step 00022 (2.5%) | loss: 7.056874 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,211 | epoch: 1 | remaining: 278s    
step 00023 (2.6%) | loss: 7.045238 | lrm: 1.00 | dt: 1081ms | tok/sec: 30,318 | epoch: 1 | remaining: 277s    
step 00024 (2.7%) | loss: 7.021296 | lrm: 1.00 | dt: 1045ms | tok/sec: 31,354 | epoch: 1 | remaining: 275s    
step 00025 (2.8%) | loss: 7.002642 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,931 | epoch: 1 | remaining: 274s    
step 00026 (2.9%) | loss: 6.978115 | lrm: 1.00 | dt: 1024ms | tok/sec: 31,993 | epoch: 1 | remaining: 273s    
step 00027 (3.1%) | loss: 6.947317 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,932 | epoch: 1 | remaining: 272s    
step 00028 (3.2%) | loss: 6.922998 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,761 | epoch: 1 | remaining: 271s    
step 00029 (3.3%) | loss: 6.900203 | lrm: 1.00 | dt: 1024ms | tok/sec: 31,994 | epoch: 1 | remaining: 270s    
step 00030 (3.4%) | loss: 6.869905 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,933 | epoch: 1 | remaining: 269s    
step 00031 (3.5%) | loss: 6.838155 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,962 | epoch: 1 | remaining: 268s    
step 00032 (3.6%) | loss: 6.812618 | lrm: 1.00 | dt: 1057ms | tok/sec: 30,988 | epoch: 1 | remaining: 267s    
step 00033 (3.7%) | loss: 6.785369 | lrm: 1.00 | dt: 998ms | tok/sec: 32,839 | epoch: 1 | remaining: 266s    
step 00034 (3.9%) | loss: 6.761694 | lrm: 1.00 | dt: 1045ms | tok/sec: 31,370 | epoch: 1 | remaining: 265s    
step 00035 (4.0%) | loss: 6.736563 | lrm: 1.00 | dt: 1055ms | tok/sec: 31,065 | epoch: 1 | remaining: 264s    
step 00036 (4.1%) | loss: 6.717388 | lrm: 1.00 | dt: 1078ms | tok/sec: 30,406 | epoch: 1 | remaining: 263s    
step 00037 (4.2%) | loss: 6.688228 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,945 | epoch: 1 | remaining: 262s    
