Condition: d1
Data/tokenizer loaded in 0.4s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.9s

step 00000 (0.0%) | loss: 9.011134 | lrm: 1.00 | dt: 842ms | tok/sec: 38,934 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.041983 | lrm: 1.00 | dt: 315ms | tok/sec: 104,157 | epoch: 1 | remaining: 300s    
step 00002 (0.1%) | loss: 8.676161 | lrm: 1.00 | dt: 439ms | tok/sec: 74,584 | epoch: 1 | remaining: 299s    
step 00003 (0.1%) | loss: 8.316455 | lrm: 1.00 | dt: 392ms | tok/sec: 83,685 | epoch: 1 | remaining: 299s    
step 00004 (0.2%) | loss: 8.024946 | lrm: 1.00 | dt: 541ms | tok/sec: 60,590 | epoch: 1 | remaining: 298s    
step 00005 (0.2%) | loss: 7.783830 | lrm: 1.00 | dt: 547ms | tok/sec: 59,900 | epoch: 1 | remaining: 298s    
step 00006 (0.3%) | loss: 7.596316 | lrm: 1.00 | dt: 718ms | tok/sec: 45,666 | epoch: 1 | remaining: 297s    
step 00007 (0.3%) | loss: 7.439172 | lrm: 1.00 | dt: 2180ms | tok/sec: 15,029 | epoch: 1 | remaining: 295s    
step 00008 (0.4%) | loss: 7.312637 | lrm: 1.00 | dt: 1073ms | tok/sec: 30,532 | epoch: 1 | remaining: 294s    
step 00009 (0.4%) | loss: 7.218876 | lrm: 1.00 | dt: 526ms | tok/sec: 62,349 | epoch: 1 | remaining: 293s    
step 00010 (0.5%) | loss: 7.103529 | lrm: 1.00 | dt: 526ms | tok/sec: 62,257 | epoch: 1 | remaining: 293s    
step 00011 (0.5%) | loss: 6.986206 | lrm: 1.00 | dt: 1100ms | tok/sec: 29,801 | epoch: 1 | remaining: 292s    
step 00012 (0.6%) | loss: 6.874896 | lrm: 1.00 | dt: 1308ms | tok/sec: 25,048 | epoch: 1 | remaining: 290s    
step 00013 (0.6%) | loss: 6.768022 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,760 | epoch: 1 | remaining: 289s    
step 00014 (0.7%) | loss: 6.661686 | lrm: 1.00 | dt: 749ms | tok/sec: 43,727 | epoch: 1 | remaining: 289s    
step 00015 (0.7%) | loss: 6.567690 | lrm: 1.00 | dt: 741ms | tok/sec: 44,230 | epoch: 1 | remaining: 288s    
step 00016 (0.8%) | loss: 6.473621 | lrm: 1.00 | dt: 878ms | tok/sec: 37,326 | epoch: 1 | remaining: 287s    
step 00017 (0.8%) | loss: 6.395828 | lrm: 1.00 | dt: 1383ms | tok/sec: 23,697 | epoch: 1 | remaining: 286s    
step 00018 (0.9%) | loss: 6.306684 | lrm: 1.00 | dt: 1049ms | tok/sec: 31,250 | epoch: 1 | remaining: 284s    
step 00019 (0.9%) | loss: 6.232423 | lrm: 1.00 | dt: 766ms | tok/sec: 42,771 | epoch: 1 | remaining: 284s    
step 00020 (1.0%) | loss: 6.154135 | lrm: 1.00 | dt: 901ms | tok/sec: 36,355 | epoch: 1 | remaining: 283s    
step 00021 (1.0%) | loss: 6.092693 | lrm: 1.00 | dt: 1167ms | tok/sec: 28,067 | epoch: 1 | remaining: 282s    
step 00022 (1.1%) | loss: 6.030148 | lrm: 1.00 | dt: 1082ms | tok/sec: 30,297 | epoch: 1 | remaining: 281s    
step 00023 (1.1%) | loss: 5.969398 | lrm: 1.00 | dt: 930ms | tok/sec: 35,240 | epoch: 1 | remaining: 280s    
step 00024 (1.2%) | loss: 5.908537 | lrm: 1.00 | dt: 904ms | tok/sec: 36,241 | epoch: 1 | remaining: 279s    
step 00025 (1.2%) | loss: 5.852300 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,494 | epoch: 1 | remaining: 278s    
step 00026 (1.3%) | loss: 5.804550 | lrm: 1.00 | dt: 1076ms | tok/sec: 30,461 | epoch: 1 | remaining: 277s    
step 00027 (1.3%) | loss: 5.758968 | lrm: 1.00 | dt: 1003ms | tok/sec: 32,662 | epoch: 1 | remaining: 276s    
step 00028 (1.4%) | loss: 5.703532 | lrm: 1.00 | dt: 888ms | tok/sec: 36,894 | epoch: 1 | remaining: 275s    
step 00029 (1.4%) | loss: 5.653715 | lrm: 1.00 | dt: 974ms | tok/sec: 33,639 | epoch: 1 | remaining: 274s    
step 00030 (1.5%) | loss: 5.603265 | lrm: 1.00 | dt: 992ms | tok/sec: 33,044 | epoch: 1 | remaining: 273s    
step 00031 (1.5%) | loss: 5.554693 | lrm: 1.00 | dt: 1066ms | tok/sec: 30,727 | epoch: 1 | remaining: 272s    
step 00032 (1.6%) | loss: 5.512098 | lrm: 1.00 | dt: 992ms | tok/sec: 33,029 | epoch: 1 | remaining: 271s    
step 00033 (1.6%) | loss: 5.475210 | lrm: 1.00 | dt: 990ms | tok/sec: 33,105 | epoch: 1 | remaining: 270s    
step 00034 (1.7%) | loss: 5.425896 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,775 | epoch: 1 | remaining: 269s    
step 00035 (1.7%) | loss: 5.382977 | lrm: 1.00 | dt: 1010ms | tok/sec: 32,442 | epoch: 1 | remaining: 268s    
step 00036 (1.8%) | loss: 5.336337 | lrm: 1.00 | dt: 992ms | tok/sec: 33,036 | epoch: 1 | remaining: 267s    
step 00037 (1.8%) | loss: 5.302140 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,776 | epoch: 1 | remaining: 266s    
step 00038 (1.9%) | loss: 5.267992 | lrm: 1.00 | dt: 949ms | tok/sec: 34,517 | epoch: 1 | remaining: 265s    
step 00039 (1.9%) | loss: 5.238202 | lrm: 1.00 | dt: 975ms | tok/sec: 33,598 | epoch: 1 | remaining: 264s    
step 00040 (2.0%) | loss: 5.196548 | lrm: 1.00 | dt: 959ms | tok/sec: 34,171 | epoch: 1 | remaining: 263s    
step 00041 (2.0%) | loss: 5.173214 | lrm: 1.00 | dt: 975ms | tok/sec: 33,597 | epoch: 1 | remaining: 262s    
step 00042 (2.1%) | loss: 5.129424 | lrm: 1.00 | dt: 983ms | tok/sec: 33,335 | epoch: 1 | remaining: 261s    
step 00043 (2.1%) | loss: 5.095614 | lrm: 1.00 | dt: 963ms | tok/sec: 34,021 | epoch: 1 | remaining: 260s    
step 00044 (2.2%) | loss: 5.063256 | lrm: 1.00 | dt: 961ms | tok/sec: 34,101 | epoch: 1 | remaining: 259s    
step 00045 (2.2%) | loss: 5.048759 | lrm: 1.00 | dt: 967ms | tok/sec: 33,884 | epoch: 1 | remaining: 258s    
step 00046 (2.3%) | loss: 5.023231 | lrm: 1.00 | dt: 1024ms | tok/sec: 32,008 | epoch: 1 | remaining: 257s    
step 00047 (2.3%) | loss: 4.996327 | lrm: 1.00 | dt: 1035ms | tok/sec: 31,668 | epoch: 1 | remaining: 256s    
step 00048 (2.4%) | loss: 4.974929 | lrm: 1.00 | dt: 975ms | tok/sec: 33,617 | epoch: 1 | remaining: 255s    
step 00049 (2.4%) | loss: 4.961319 | lrm: 1.00 | dt: 983ms | tok/sec: 33,324 | epoch: 1 | remaining: 254s    
step 00050 (2.5%) | loss: 4.935642 | lrm: 1.00 | dt: 992ms | tok/sec: 33,046 | epoch: 1 | remaining: 253s    
step 00051 (2.5%) | loss: 4.912585 | lrm: 1.00 | dt: 992ms | tok/sec: 33,043 | epoch: 1 | remaining: 252s    
step 00052 (2.6%) | loss: 4.887886 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,499 | epoch: 1 | remaining: 251s    
step 00053 (2.6%) | loss: 4.869388 | lrm: 1.00 | dt: 980ms | tok/sec: 33,448 | epoch: 1 | remaining: 250s    
step 00054 (2.7%) | loss: 4.850714 | lrm: 1.00 | dt: 971ms | tok/sec: 33,759 | epoch: 1 | remaining: 249s    
step 00055 (2.7%) | loss: 4.833578 | lrm: 1.00 | dt: 991ms | tok/sec: 33,054 | epoch: 1 | remaining: 248s    
step 00056 (2.8%) | loss: 4.817298 | lrm: 1.00 | dt: 1081ms | tok/sec: 30,314 | epoch: 1 | remaining: 247s    
step 00057 (2.8%) | loss: 4.799047 | lrm: 1.00 | dt: 1011ms | tok/sec: 32,421 | epoch: 1 | remaining: 246s    
step 00058 (2.9%) | loss: 4.793982 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,770 | epoch: 1 | remaining: 245s    
step 00059 (2.9%) | loss: 4.782355 | lrm: 1.00 | dt: 891ms | tok/sec: 36,770 | epoch: 1 | remaining: 244s    
step 00060 (3.0%) | loss: 4.761166 | lrm: 1.00 | dt: 974ms | tok/sec: 33,644 | epoch: 1 | remaining: 243s    
step 00061 (3.0%) | loss: 4.746332 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,447 | epoch: 1 | remaining: 242s    
step 00062 (3.1%) | loss: 4.729209 | lrm: 1.00 | dt: 1027ms | tok/sec: 31,905 | epoch: 1 | remaining: 241s    
step 00063 (3.1%) | loss: 4.722304 | lrm: 1.00 | dt: 999ms | tok/sec: 32,807 | epoch: 1 | remaining: 240s    
step 00064 (3.2%) | loss: 4.707932 | lrm: 1.00 | dt: 974ms | tok/sec: 33,626 | epoch: 1 | remaining: 239s    
step 00065 (3.2%) | loss: 4.693591 | lrm: 1.00 | dt: 939ms | tok/sec: 34,881 | epoch: 1 | remaining: 238s    
step 00066 (3.3%) | loss: 4.684242 | lrm: 1.00 | dt: 1002ms | tok/sec: 32,688 | epoch: 1 | remaining: 237s    
step 00067 (3.3%) | loss: 4.666317 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,956 | epoch: 1 | remaining: 236s    
step 00068 (3.4%) | loss: 4.654184 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,768 | epoch: 1 | remaining: 235s    
step 00069 (3.4%) | loss: 4.638217 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,755 | epoch: 1 | remaining: 234s    
step 00070 (3.5%) | loss: 4.621938 | lrm: 1.00 | dt: 983ms | tok/sec: 33,339 | epoch: 1 | remaining: 233s    
step 00071 (3.5%) | loss: 4.605081 | lrm: 1.00 | dt: 992ms | tok/sec: 33,045 | epoch: 1 | remaining: 232s    
step 00072 (3.6%) | loss: 4.593609 | lrm: 1.00 | dt: 1025ms | tok/sec: 31,976 | epoch: 1 | remaining: 231s    
step 00073 (3.6%) | loss: 4.580130 | lrm: 1.00 | dt: 1026ms | tok/sec: 31,946 | epoch: 1 | remaining: 230s    
step 00074 (3.6%) | loss: 4.562892 | lrm: 1.00 | dt: 998ms | tok/sec: 32,824 | epoch: 1 | remaining: 229s    
step 00075 (3.7%) | loss: 4.549510 | lrm: 1.00 | dt: 968ms | tok/sec: 33,848 | epoch: 1 | remaining: 228s    
step 00076 (3.7%) | loss: 4.542198 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,209 | epoch: 1 | remaining: 227s    
step 00077 (3.8%) | loss: 4.527314 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,965 | epoch: 1 | remaining: 226s    
step 00078 (3.8%) | loss: 4.518332 | lrm: 1.00 | dt: 983ms | tok/sec: 33,328 | epoch: 1 | remaining: 225s    
step 00079 (3.9%) | loss: 4.513705 | lrm: 1.00 | dt: 998ms | tok/sec: 32,836 | epoch: 1 | remaining: 224s    
step 00080 (3.9%) | loss: 4.499842 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,402 | epoch: 1 | remaining: 223s    
step 00081 (4.0%) | loss: 4.490049 | lrm: 1.00 | dt: 1017ms | tok/sec: 32,223 | epoch: 1 | remaining: 222s    
step 00082 (4.0%) | loss: 4.480425 | lrm: 1.00 | dt: 992ms | tok/sec: 33,047 | epoch: 1 | remaining: 221s    
step 00083 (4.1%) | loss: 4.467177 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,505 | epoch: 1 | remaining: 220s    
step 00084 (4.1%) | loss: 4.452777 | lrm: 1.00 | dt: 1014ms | tok/sec: 32,310 | epoch: 1 | remaining: 219s    
step 00085 (4.2%) | loss: 4.438315 | lrm: 1.00 | dt: 1025ms | tok/sec: 31,964 | epoch: 1 | remaining: 218s    
step 00086 (4.2%) | loss: 4.417708 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,780 | epoch: 1 | remaining: 217s    
step 00087 (4.3%) | loss: 4.416488 | lrm: 1.00 | dt: 1035ms | tok/sec: 31,668 | epoch: 1 | remaining: 216s    
step 00088 (4.3%) | loss: 4.403868 | lrm: 1.00 | dt: 993ms | tok/sec: 32,998 | epoch: 1 | remaining: 215s    
step 00089 (4.4%) | loss: 4.404999 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,778 | epoch: 1 | remaining: 214s    
step 00090 (4.4%) | loss: 4.401259 | lrm: 1.00 | dt: 966ms | tok/sec: 33,911 | epoch: 1 | remaining: 213s    
step 00091 (4.5%) | loss: 4.393194 | lrm: 1.00 | dt: 1096ms | tok/sec: 29,891 | epoch: 1 | remaining: 212s    
step 00092 (4.5%) | loss: 4.403122 | lrm: 1.00 | dt: 1021ms | tok/sec: 32,096 | epoch: 1 | remaining: 211s    
step 00093 (4.6%) | loss: 4.390783 | lrm: 1.00 | dt: 975ms | tok/sec: 33,623 | epoch: 1 | remaining: 210s    
step 00094 (4.6%) | loss: 4.387332 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,494 | epoch: 1 | remaining: 209s    
step 00095 (4.7%) | loss: 4.376335 | lrm: 1.00 | dt: 984ms | tok/sec: 33,314 | epoch: 1 | remaining: 208s    
step 00096 (4.7%) | loss: 4.365972 | lrm: 1.00 | dt: 1009ms | tok/sec: 32,480 | epoch: 1 | remaining: 207s    
step 00097 (4.8%) | loss: 4.349608 | lrm: 1.00 | dt: 1017ms | tok/sec: 32,216 | epoch: 1 | remaining: 206s    
step 00098 (4.8%) | loss: 4.339048 | lrm: 1.00 | dt: 996ms | tok/sec: 32,911 | epoch: 1 | remaining: 205s    
step 00099 (4.9%) | loss: 4.326872 | lrm: 1.00 | dt: 995ms | tok/sec: 32,940 | epoch: 1 | remaining: 204s    
step 00100 (4.9%) | loss: 4.315666 | lrm: 1.00 | dt: 991ms | tok/sec: 33,051 | epoch: 1 | remaining: 203s    
step 00101 (5.0%) | loss: 4.303371 | lrm: 1.00 | dt: 1033ms | tok/sec: 31,713 | epoch: 1 | remaining: 202s    
step 00102 (5.0%) | loss: 4.296934 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,504 | epoch: 1 | remaining: 201s    
step 00103 (5.1%) | loss: 4.285265 | lrm: 1.00 | dt: 992ms | tok/sec: 33,033 | epoch: 1 | remaining: 200s    
step 00104 (5.1%) | loss: 4.271070 | lrm: 1.00 | dt: 997ms | tok/sec: 32,852 | epoch: 1 | remaining: 199s    
step 00105 (5.2%) | loss: 4.259842 | lrm: 1.00 | dt: 1011ms | tok/sec: 32,404 | epoch: 1 | remaining: 198s    
step 00106 (5.2%) | loss: 4.255123 | lrm: 1.00 | dt: 1022ms | tok/sec: 32,050 | epoch: 1 | remaining: 197s    
