Condition: d3
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.6s

step 00000 (0.0%) | loss: 9.010902 | lrm: 1.00 | dt: 632ms | tok/sec: 51,870 | epoch: 1 | remaining: 300s    
step 00001 (0.4%) | loss: 8.976491 | lrm: 1.00 | dt: 348ms | tok/sec: 94,214 | epoch: 1 | remaining: 300s    
step 00002 (0.8%) | loss: 8.616253 | lrm: 1.00 | dt: 528ms | tok/sec: 62,057 | epoch: 1 | remaining: 299s    
step 00003 (1.1%) | loss: 8.328789 | lrm: 1.00 | dt: 643ms | tok/sec: 50,931 | epoch: 1 | remaining: 298s    
step 00004 (1.5%) | loss: 8.118558 | lrm: 1.00 | dt: 1723ms | tok/sec: 19,018 | epoch: 1 | remaining: 297s    
step 00005 (1.9%) | loss: 7.946469 | lrm: 1.00 | dt: 1697ms | tok/sec: 19,310 | epoch: 1 | remaining: 295s    
step 00006 (2.3%) | loss: 7.813614 | lrm: 1.00 | dt: 675ms | tok/sec: 48,522 | epoch: 1 | remaining: 294s    
step 00007 (2.7%) | loss: 7.717763 | lrm: 1.00 | dt: 667ms | tok/sec: 49,096 | epoch: 1 | remaining: 294s    
step 00008 (3.0%) | loss: 7.637217 | lrm: 1.00 | dt: 1076ms | tok/sec: 30,457 | epoch: 1 | remaining: 293s    
step 00009 (3.4%) | loss: 7.569131 | lrm: 1.00 | dt: 1668ms | tok/sec: 19,643 | epoch: 1 | remaining: 291s    
step 00010 (3.8%) | loss: 7.493720 | lrm: 1.00 | dt: 963ms | tok/sec: 34,013 | epoch: 1 | remaining: 290s    
step 00011 (4.2%) | loss: 7.438376 | lrm: 1.00 | dt: 923ms | tok/sec: 35,489 | epoch: 1 | remaining: 289s    
step 00012 (4.5%) | loss: 7.391406 | lrm: 1.00 | dt: 1103ms | tok/sec: 29,698 | epoch: 1 | remaining: 288s    
step 00013 (4.9%) | loss: 7.352791 | lrm: 1.00 | dt: 1218ms | tok/sec: 26,905 | epoch: 1 | remaining: 287s    
step 00014 (5.3%) | loss: 7.318761 | lrm: 1.00 | dt: 1108ms | tok/sec: 29,578 | epoch: 1 | remaining: 286s    
step 00015 (5.7%) | loss: 7.287976 | lrm: 1.00 | dt: 992ms | tok/sec: 33,030 | epoch: 1 | remaining: 285s    
step 00016 (6.1%) | loss: 7.255097 | lrm: 1.00 | dt: 1079ms | tok/sec: 30,363 | epoch: 1 | remaining: 284s    
step 00017 (6.4%) | loss: 7.227882 | lrm: 1.00 | dt: 1153ms | tok/sec: 28,412 | epoch: 1 | remaining: 282s    
step 00018 (6.8%) | loss: 7.204699 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,214 | epoch: 1 | remaining: 281s    
step 00019 (7.2%) | loss: 7.188597 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,953 | epoch: 1 | remaining: 280s    
step 00020 (7.6%) | loss: 7.169859 | lrm: 1.00 | dt: 1082ms | tok/sec: 30,281 | epoch: 1 | remaining: 279s    
step 00021 (8.0%) | loss: 7.145674 | lrm: 1.00 | dt: 1072ms | tok/sec: 30,555 | epoch: 1 | remaining: 278s    
step 00022 (8.3%) | loss: 7.125521 | lrm: 1.00 | dt: 1112ms | tok/sec: 29,455 | epoch: 1 | remaining: 277s    
step 00023 (8.7%) | loss: 7.110958 | lrm: 1.00 | dt: 1141ms | tok/sec: 28,712 | epoch: 1 | remaining: 276s    
step 00024 (9.1%) | loss: 7.085176 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,720 | epoch: 1 | remaining: 275s    
step 00025 (9.5%) | loss: 7.062012 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,948 | epoch: 1 | remaining: 274s    
step 00026 (9.8%) | loss: 7.033546 | lrm: 1.00 | dt: 1091ms | tok/sec: 30,037 | epoch: 1 | remaining: 273s    
step 00027 (10.2%) | loss: 6.999929 | lrm: 1.00 | dt: 1122ms | tok/sec: 29,216 | epoch: 1 | remaining: 272s    
step 00028 (10.6%) | loss: 6.969909 | lrm: 1.00 | dt: 1078ms | tok/sec: 30,388 | epoch: 1 | remaining: 271s    
step 00029 (11.0%) | loss: 6.941553 | lrm: 1.00 | dt: 1117ms | tok/sec: 29,345 | epoch: 1 | remaining: 269s    
step 00030 (11.4%) | loss: 6.910635 | lrm: 1.00 | dt: 1097ms | tok/sec: 29,863 | epoch: 1 | remaining: 268s    
step 00031 (11.7%) | loss: 6.881095 | lrm: 1.00 | dt: 1095ms | tok/sec: 29,932 | epoch: 1 | remaining: 267s    
step 00032 (12.1%) | loss: 6.853496 | lrm: 1.00 | dt: 1083ms | tok/sec: 30,260 | epoch: 1 | remaining: 266s    
step 00033 (12.5%) | loss: 6.827905 | lrm: 1.00 | dt: 1090ms | tok/sec: 30,058 | epoch: 1 | remaining: 265s    
step 00034 (12.9%) | loss: 6.808219 | lrm: 1.00 | dt: 1110ms | tok/sec: 29,528 | epoch: 1 | remaining: 264s    
step 00035 (13.3%) | loss: 6.780564 | lrm: 1.00 | dt: 1066ms | tok/sec: 30,743 | epoch: 1 | remaining: 263s    
step 00036 (13.6%) | loss: 6.762000 | lrm: 1.00 | dt: 1199ms | tok/sec: 27,325 | epoch: 1 | remaining: 262s    
step 00037 (14.0%) | loss: 6.731795 | lrm: 1.00 | dt: 1060ms | tok/sec: 30,908 | epoch: 1 | remaining: 261s    
step 00038 (14.4%) | loss: 6.715952 | lrm: 1.00 | dt: 1033ms | tok/sec: 31,720 | epoch: 1 | remaining: 260s    
step 00039 (14.8%) | loss: 6.707995 | lrm: 1.00 | dt: 1115ms | tok/sec: 29,382 | epoch: 1 | remaining: 258s    
step 00040 (15.2%) | loss: 6.690364 | lrm: 1.00 | dt: 1119ms | tok/sec: 29,273 | epoch: 1 | remaining: 257s    
